CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170109835	Alameda	Alameda County Office of Education	FAME Public Charter	15	1	9	1	2	3	27	0	2	60	1011
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	3	0	1	0	0	25	1	2	0	32	1011
01100170118489	Alameda	Alameda County Office of Education	Aspire California College Preparatory Academy	12	0	0	0	0	4	0	0	0	16	1011
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	1	0	0	1	0	5	0	0	0	7	1011
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	26	0	4	0	1	4	6	1	0	42	1011
01100170130427	Alameda	Alameda County Office of Education	Alameda County Opportunity	11	3	1	0	0	6	1	0	0	22	1011
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	13	0	4	0	3	7	13	1	0	41	1011
01611190106401	Alameda	Alameda City Unified	Alameda Science and Technology Institute	5	0	16	0	0	3	4	0	0	28	1011
01611190130229	Alameda	Alameda City Unified	Alameda High	28	0	197	3	27	18	120	6	0	399	1011
01611190130609	Alameda	Alameda City Unified	Alameda Community Learning Center	1	0	6	0	1	4	12	0	0	24	1011
01611190130625	Alameda	Alameda City Unified	Bay Area School of Enterprise	8	1	1	0	0	6	1	3	1	21	1011
01611190132878	Alameda	Alameda City Unified	Encinal High	28	1	80	1	30	53	39	0	0	232	1011
01611190134304	Alameda	Alameda City Unified	Island High (Continuation)	22	0	10	2	13	16	21	2	3	89	1011
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	8	0	2	0	0	2	6	0	0	18	1011
01611270130450	Alameda	Albany City Unified	Albany High	34	2	81	1	5	21	110	0	1	255	1011
01611430000001	Alameda	Berkeley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	1	1	4	1	0	7	1011
01611430131177	Alameda	Berkeley Unified	Berkeley High	135	4	67	2	7	177	271	57	44	764	1011
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	9	0	1	0	0	15	1	0	3	29	1011
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	126	0	187	4	19	39	224	69	1	669	1011
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	16	1	5	0	2	10	22	3	0	59	1011
01611680132746	Alameda	Emery Unified	Emery Secondary	8	0	2	0	1	24	1	0	0	36	1011
01611760130062	Alameda	Fremont Unified	American High	56	0	218	4	57	25	113	5	1	479	1011
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	32	0	7	3	8	20	20	2	1	93	1011
01611760130435	Alameda	Fremont Unified	Vista Alternative	7	0	3	1	0	0	9	4	0	24	1011
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	6	0	3	0	1	3	20	3	0	36	1011
01611760134270	Alameda	Fremont Unified	Irvington High	41	1	267	2	21	12	101	4	3	452	1011
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	78	0	57	6	21	17	103	5	0	287	1011
01611760135244	Alameda	Fremont Unified	Mission San Jose High	8	0	419	0	6	4	73	0	1	511	1011
01611760138693	Alameda	Fremont Unified	Washington High	69	2	135	3	29	33	172	4	0	447	1011
01611920108670	Alameda	Hayward Unified	Leadership Public Schools - Hayward	43	1	6	9	11	9	10	0	0	89	1011
