CDS_CODE	ETHNIC	GENDER	E7	E8	E9	E10	E11	E12	EUS	ETOT	D7	D8	D9	D10	D11	D12	DUS	DTOT	YEAR
01100170109835	0	M	1	2	1	0	2	1	0	4	0	0	0	0	0	1	0	1	0910
01100170109835	0	F	3	1	4	0	1	1	0	6	0	0	1	0	0	0	0	1	0910
01100170109835	1	M	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0910
01100170109835	2	M	13	9	5	4	4	6	0	19	0	2	0	0	0	0	0	0	0910
01100170109835	2	F	9	10	11	8	8	4	0	31	0	0	0	0	0	0	0	0	0910
01100170109835	3	M	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0910
01100170109835	3	F	1	4	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0910
01100170109835	4	M	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	1	0910
01100170109835	4	F	1	1	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0910
01100170109835	5	M	6	3	5	6	2	4	0	17	0	0	0	0	0	0	0	0	0910
01100170109835	5	F	6	8	8	15	9	7	0	39	0	0	1	1	2	1	0	5	0910
01100170109835	6	M	7	5	3	1	4	1	0	9	1	0	0	0	1	0	0	1	0910
01100170109835	6	F	4	4	4	2	2	4	0	12	0	1	1	0	1	0	0	2	0910
01100170109835	7	M	35	26	15	18	7	7	0	47	0	1	1	0	0	0	0	1	0910
01100170109835	7	F	30	29	28	32	18	17	0	95	0	0	0	1	0	1	0	2	0910
01100170112607	0	M	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0910
01100170112607	1	M	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0910
01100170112607	1	F	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0910
01100170112607	2	M	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0910
01100170112607	2	F	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0910
