CDS_CODE	ETHNIC	GENDER	GRADS	UC_GRADS	YEAR
01100170109835	6	M	1	0	1011
01100170109835	0	F	1	0	1011
01100170109835	1	M	1	0	1011
01100170109835	6	F	2	1	1011
01100170109835	4	F	2	0	1011
01100170109835	5	F	11	1	1011
01100170109835	7	M	10	0	1011
01100170109835	2	M	2	0	1011
01100170109835	5	M	4	0	1011
01100170109835	2	F	7	4	1011
01100170109835	3	M	1	0	1011
01100170109835	7	F	17	4	1011
01100170109835	0	M	1	0	1011
01100170112607	5	M	1	1	1011
01100170112607	9	F	1	1	1011
01100170112607	2	M	1	1	1011
01100170112607	6	M	15	15	1011
01100170112607	6	F	10	10	1011
01100170112607	5	F	2	2	1011
01100170112607	7	M	1	1	1011
01100170112607	9	M	1	1	1011
01100170118489	6	F	1	1	1011
01100170118489	6	M	3	2	1011
01100170118489	5	F	6	5	1011
01100170118489	5	M	6	5	1011
01100170130401	6	M	5	0	1011
01100170130401	5	M	1	0	1011
01100170130401	3	M	1	0	1011
01100170130419	5	F	11	0	1011
01100170130419	9	M	1	0	1011
01100170130419	7	M	2	0	1011
01100170130419	2	M	4	0	1011
01100170130419	6	F	1	0	1011
01100170130419	6	M	3	0	1011
01100170130419	4	M	1	0	1011
01100170130419	7	F	4	0	1011
01100170130419	5	M	15	0	1011
01100170130427	1	F	3	0	1011
01100170130427	2	F	1	0	1011
01100170130427	6	F	6	0	1011
01100170130427	5	M	1	0	1011
01100170130427	7	F	1	0	1011
01100170130427	5	F	10	0	1011
01316170131763	5	F	7	0	1011
01316170131763	5	M	6	0	1011
01316170131763	2	F	1	1	1011
01316170131763	9	F	1	0	1011
01316170131763	6	M	4	0	1011
01316170131763	7	M	9	2	1011
01316170131763	6	F	3	0	1011
01316170131763	4	F	1	0	1011
01316170131763	2	M	3	0	1011
01316170131763	4	M	2	0	1011
01316170131763	7	F	4	2	1011
01611190106401	6	F	3	2	1011
01611190106401	2	F	10	10	1011
01611190106401	5	M	2	1	1011
01611190106401	5	F	3	0	1011
01611190106401	2	M	6	6	1011
01611190106401	7	F	2	2	1011
01611190106401	7	M	2	2	1011
01611190130229	6	M	10	1	1011
01611190130229	9	F	3	0	1011
01611190130229	2	M	97	45	1011
01611190130229	6	F	8	6	1011
01611190130229	4	M	18	6	1011
01611190130229	9	M	3	1	1011
01611190130229	7	F	68	51	1011
01611190130229	5	F	16	7	1011
01611190130229	4	F	9	7	1011
01611190130229	2	F	100	67	1011
01611190130229	5	M	12	4	1011
01611190130229	3	F	2	1	1011
01611190130229	3	M	1	1	1011
01611190130229	7	M	52	29	1011
01611190130609	5	F	1	1	1011
01611190130609	6	F	4	4	1011
01611190130609	7	M	6	6	1011
01611190130609	2	F	5	5	1011
01611190130609	2	M	1	1	1011
01611190130609	4	M	1	1	1011
01611190130609	7	F	6	6	1011
01611190130625	0	F	1	1	1011
01611190130625	5	F	5	5	1011
01611190130625	9	F	1	1	1011
01611190130625	9	M	2	2	1011
01611190130625	7	M	1	1	1011
01611190130625	2	F	1	1	1011
01611190130625	5	M	3	3	1011
01611190130625	6	F	4	4	1011
01611190130625	6	M	2	2	1011
01611190130625	1	M	1	1	1011
01611190132878	2	F	45	19	1011
01611190132878	1	M	1	0	1011
01611190132878	6	M	30	3	1011
01611190132878	5	F	6	1	1011
01611190132878	7	M	19	6	1011
01611190132878	2	M	35	6	1011
01611190132878	4	M	10	3	1011
01611190132878	5	M	22	4	1011
01611190132878	3	F	1	1	1011
01611190132878	7	F	20	10	1011
01611190132878	6	F	23	3	1011
01611190132878	4	F	20	9	1011
01611190134304	0	M	3	0	1011
01611190134304	4	M	11	0	1011
01611190134304	2	F	6	0	1011
01611190134304	7	F	10	0	1011
01611190134304	7	M	11	0	1011
01611190134304	4	F	2	0	1011
01611190134304	9	M	1	0	1011
01611190134304	5	F	13	0	1011
01611190134304	5	M	9	0	1011
01611190134304	3	M	1	0	1011
01611190134304	2	M	4	0	1011
01611190134304	6	M	11	0	1011
01611190134304	9	F	1	0	1011
01611190134304	6	F	5	0	1011
